Jeux,Discipline,Épreuve,Phase,Genre,Début,Fin,Lieu,Session,latitude,longitude,ville,capacité,Enjeu,Catégorie_First,Catégorie_A,Catégorie_B,Catégorie_C,Catégorie_D,Catégorie_E+,Catégorie_E,Catégorie_First_PFR,Catégorie_A_PFR,Catégorie_B_PFR
Olympiques,Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,Quais de Seine,OOC01,48.8634,2.3049,Paris (75),326000,Cérémonie,,2700,1600,900,500,250,90,,,
Olympiques,Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,Stade de France,OCC01,48.924388,2.3598709999999996,Saint-Denis (93),77083,Cérémonie,,2700,1600,900,500,250,90,,,
Olympiques,Athlétisme,20 km marche,finale,Hommes,2024-08-01T07:30:00Z,2024-08-01T11:05:00Z,Trocadéro,ATH01,48.856261999999994,2.2914,Paris (75),3349,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,20 km marche,finale,Femmes,2024-08-01T07:30:00Z,2024-08-01T11:05:00Z,Trocadéro,ATH01,48.856261999999994,2.2914,Paris (75),3349,Qualifications,,200,130,75,40,,,,,
Olympiques,Athlétisme,Décathlon  100 m,,Hommes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Lancer de marteau,qualifications,Hommes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Saut en hauteur,qualifications,Femmes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,100 m,tour préliminaire,Femmes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,Décathlon  saut en longueur,,Hommes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
Olympiques,Athlétisme,1 500 m,1er tour,Hommes,2024-08-02T10:00:00Z,2024-08-02T13:00:00Z,Stade de France,ATH02,48.924388,2.3598709999999996,Saint-Denis (93),77083,Médailles,,690,385,195,85,,,,,
